playerid,wRCL
9953,1271
17878,723
4001,721
10123,481
17313,478
17470,472
10953,377
9362,350
14508,346
2047,345
16565,317
13269,288
14412,249
15450,241
7740,241
16622,238
1101,234
15983,224
16357,223
14811,212
13611,212
13543,206
12284,205
9134,203
14444,203
13910,202
4220,201
11738,198
9777,197
13288,197
15429,194
18345,192
12673,188
19262,187
16980,185
5238,185
9433,184
14221,183
14566,181
4338,180
5235,179
2717,178
10681,178
16929,178
2036,176
15564,176
4949,174
11737,172
17062,171
14196,169
10155,169
12552,169
12916,168
17678,166
9077,166
7872,166
10286,166
12564,166
9895,164
12510,164
18363,163
12758,162
11477,162
18401,162
13050,162
15640,161
9957,158
13613,157
11281,156
2495,155
6184,155
9218,155
13151,154
2434,153
3269,152
12546,152
11445,152
12977,151
11680,151
10816,150
15112,149
15672,148
19198,147
1433,147
5254,147
14274,147
3395,146
5361,146
5038,146
11761,145
11493,145
7226,144
17696,144
11342,144
15676,144
2967,143
10324,143
12979,143
15279,142
15608,141
16556,141
13301,141
9549,140
16997,139
12861,139
11682,139
18030,138
9284,137
11442,136
10231,136
13942,135
14145,135
9460,135
8392,134
14593,134
14548,134
13546,133
7619,133
8347,133
14158,132
6364,132
15191,132
12856,131
13621,131
8001,131
17719,130
16192,130
11579,130
9166,130
13608,129
1873,129
20123,128
16285,128
14162,127
3892,127
4022,127
9847,126
9627,125
16505,125
12547,125
17128,125
14713,125
3410,125
14843,124
9874,124
5275,124
15362,124
8090,124
17075,124
5631,124
11609,123
19238,123
5933,123
13769,123
2396,123
11850,123
15291,123
3376,123
16376,122
13355,122
12447,122
11189,121
16313,121
13853,121
2636,120
13602,120
6589,120
10700,119
7571,119
14556,119
11003,119
5760,119
12937,119
15711,119
12174,118
13284,118
10047,118
5913,118
7007,118
8259,118
12161,118
15464,117
12092,117
9112,117
17149,117
10243,117
15878,117
7435,116
14950,116
5297,116
5417,116
1744,115
13367,115
7996,115
4579,115
5677,114
10197,114
16252,114
13510,114
18289,113
10472,113
13277,113
11338,113
16512,112
12927,112
12594,112
12225,112
15172,111
4314,111
6876,111
629,111
14128,111
12907,110
16411,110
17023,110
10847,110
5306,109
6609,109
6885,109
6153,109
14131,109
10815,108
13757,108
12533,108
3256,108
10200,108
5497,108
17548,107
16535,107
7859,107
6012,107
10339,107
5667,107
12606,107
5343,106
13836,106
13593,106
11368,106
10459,106
1857,106
16221,105
11902,105
8385,105
17714,104
9015,104
5751,104
5930,104
2151,104
15518,104
5666,103
9345,103
6547,103
3142,103
1887,102
14106,102
12147,102
10323,102
12144,101
13145,101
15048,101
11476,101
14938,101
14109,101
13300,101
12158,101
10762,100
10556,100
13066,100
4418,99
16434,99
4616,99
13862,98
1943,98
5485,98
14344,97
13807,97
14738,97
10071,97
4940,97
9785,96
13590,96
4298,96
10473,95
14942,95
12155,95
9241,95
7949,95
6652,94
3298,94
13074,94
10542,94
9368,94
4866,94
6368,93
11875,93
12858,93
10322,92
4892,92
17161,92
11472,92
12180,92
11270,92
14894,91
3353,91
8709,91
16578,91
9256,91
16472,91
9054,91
15937,91
18721,91
12282,91
10354,91
5491,90
16424,90
10059,90
11339,90
18882,89
7304,88
15998,88
14335,88
3473,88
17018,87
14875,86
16631,86
12160,86
2900,86
4969,86
17992,86
2136,86
5352,86
3882,86
5384,85
16478,85
7476,85
12409,85
8609,85
4106,85
8418,85
16153,84
1177,84
14682,84
9571,84
17901,84
15694,84
11400,84
19755,84
14078,83
16561,83
17738,83
9892,83
15986,83
9810,82
4146,82
10030,82
8267,82
3086,82
4922,82
6483,82
393,81
13684,81
15519,81
639,81
10346,81
4810,81
13770,81
5398,81
12434,80
5223,80
15038,80
8202,80
6887,80
16271,80
14503,80
18383,80
11379,80
11739,80
7870,80
14553,79
13110,78
15124,78
4962,78
12976,78
5107,78
10264,78
18015,78
15149,77
4229,77
7287,77
13624,77
12775,76
7802,76
15447,76
7168,76
5227,76
11200,75
3174,75
3411,75
14330,75
1736,75
2608,74
9927,74
13419,74
13338,74
13157,73
14813,73
14712,73
9776,73
11265,72
12005,72
6310,72
11863,72
4153,71
12164,71
13755,71
14140,71
6848,71
9205,70
12508,70
14225,70
16925,70
15117,70
14352,70
12179,69
14818,69
17919,69
13744,68
5827,68
9744,68
10950,67
3448,67
15194,67
12532,67
5222,67
4881,67
15161,66
11982,66
13152,65
8203,65
12037,65
2802,65
12399,64
2530,64
9393,64
17232,64
15653,64
7324,63
17350,63
9848,63
11255,63
9774,63
14558,62
3812,62
10951,62
7158,62
15181,61
11489,61
16219,61
3711,61
10199,61
4747,60
14897,60
4403,60
8722,60
15082,60
13185,60
15223,58
13265,58
15104,58
14477,58
19254,57
14551,57
8610,57
5209,57
17975,57
15674,56
15491,56
9856,56
14567,56
4062,55
7185,55
7927,55
2829,54
11846,54
19309,54
7462,54
11470,53
14113,53
3312,52
785,52
11205,52
18314,51
4316,51
2616,51
11038,50
17932,50
12984,50
10619,50
6797,50
8252,49
6677,49
13369,48
13768,48
7087,48
9253,48
13005,48
3648,48
17027,48
15654,47
2578,47
13012,47
14523,47
11602,46
14388,46
5452,46
12970,45
13359,45
3516,45
13130,43
13499,42
7593,42
16909,42
9323,41
2502,41
5517,41
15214,40
3137,40
3123,40
10348,39
17766,39
13453,39
17929,39
11894,39
7739,38
12859,38
10807,38
11899,38
11859,37
11936,36
16451,36
9682,36
11611,36
13329,36
16291,36
3708,35
16403,35
14267,34
7888,34
12797,33
1908,33
6195,33
4972,33
15481,33
14968,32
11615,32
9272,32
13325,32
7539,31
18288,31
8779,31
13788,31
6564,31
14885,30
16623,30
9308,30
13414,29
1679,28
1159,27
12880,26
5273,26
16725,26
15487,25
19374,25
16442,24
8553,24
11494,24
5942,23
17642,23
12371,23
12950,22
791,21
5409,21
8753,20
10954,20
12944,20
15496,19
12325,19
14320,19
14509,18
14111,16
12926,15
13324,15
15271,15
9807,14
13473,13
17838,11
13718,10
14735,10
8628,9
12294,8
13071,8
9952,7
8044,7
15873,5
11287,5
17479,4
2539,4
12983,3
14329,2
14350,2
14528,1
10767,1
13633,1
13153,0
10925,0
14527,0
17620,0
17109,-1
11762,-1
3364,-1
15197,-3
8370,-4
5486,-6
8298,-9
12981,-10
10310,-11
15679,-13
14130,-13
5408,-13
14361,-14
15423,-14
15115,-16
16263,-16
