playerid,wRCR
9674,486
11596,483
13133,476
13834,473
14508,473
18694,472
8879,407
15982,360
8073,358
9433,355
11467,336
19427,319
14527,301
11437,301
15679,226
2717,219
12384,216
12119,205
10155,198
16442,194
14843,194
17620,193
10767,189
5221,188
10925,188
7841,185
16162,185
15496,182
19755,182
6986,182
14212,178
14899,178
11449,178
13611,176
14811,174
15674,174
6184,174
13301,169
11477,168
12778,167
17466,165
9895,164
12927,163
10021,159
13510,159
7462,158
17678,153
13602,153
10732,152
20123,152
16110,151
14225,150
2136,150
13473,149
14678,147
5452,146
8090,145
17766,144
15640,144
16925,142
16505,142
5417,142
5235,142
15362,142
4314,141
5222,141
9112,141
16472,140
9218,140
11739,140
16263,140
12861,140
11899,139
11493,139
15608,139
5384,138
3473,138
3174,138
4106,138
12161,137
11579,137
13590,137
15998,137
9054,136
18401,136
17901,135
13110,135
14274,135
11982,134
10339,134
11205,134
4418,133
15878,133
12005,133
1744,132
8610,132
5361,132
13152,132
5297,132
13338,132
14130,132
16578,131
17128,131
11368,131
15223,131
11342,130
15564,130
4316,130
7571,130
13367,129
14140,129
7996,128
12907,128
15271,128
12979,127
3269,127
4229,127
14344,127
2434,126
6012,126
14196,126
15124,125
15654,125
5275,125
1433,125
7435,125
4962,124
14145,124
3516,124
17714,124
9957,124
2967,124
14567,123
9744,123
10472,123
14477,123
13744,123
12037,123
10264,122
13624,122
7410,122
7859,122
12552,122
5631,121
16478,121
12155,121
5827,121
13288,121
5409,121
18882,121
6153,120
5930,120
10762,120
14897,120
15986,120
4747,119
10348,119
16376,119
13228,119
2151,119
15161,119
9256,119
9241,119
13284,118
17919,118
3648,118
2502,118
13267,118
12179,118
16535,118
15451,118
17022,118
9847,118
11737,117
11846,117
14894,117
12916,117
19249,117
4064,116
13757,116
13145,116
3298,115
14950,115
13853,115
11752,114
10243,114
13608,114
14420,114
9393,114
12856,114
16909,113
15711,113
18289,113
10807,113
12160,113
16434,113
16997,113
9549,113
15464,112
1873,112
10542,112
14503,112
4949,112
17027,111
4892,111
9345,111
12564,111
13066,111
15519,110
18015,110
14330,110
13769,110
3711,110
12546,110
12926,109
14350,109
14128,109
9077,109
16403,109
1887,109
17232,108
10815,108
785,108
10847,108
15429,108
12225,108
6195,107
10059,107
8347,107
2530,107
12532,107
18363,107
15676,107
8392,107
15937,106
639,106
15194,106
13836,106
11281,106
3086,106
5933,106
14553,106
6876,105
11859,105
9253,105
8259,105
7287,104
5038,104
17929,104
2396,104
14221,103
12984,103
15491,103
3142,103
14566,103
5209,103
9777,103
13369,103
14388,102
16252,102
5497,102
7619,101
12294,101
9284,101
13176,101
12775,101
12282,101
13768,100
10556,100
19254,100
629,100
4940,100
10047,100
6368,99
17350,99
16313,99
15149,99
13633,99
7007,99
11602,99
11680,98
6448,98
5677,98
12092,97
15191,97
4579,97
12180,97
15447,97
8553,96
13265,96
1857,96
9776,96
19238,95
11476,95
12144,95
9927,95
13324,95
3410,95
2829,95
12371,95
12976,95
9166,94
17642,94
10816,94
10324,94
2616,94
7539,93
4922,93
5223,93
12858,93
13593,93
10071,93
9810,93
14738,93
11936,93
4022,93
